dictor	value	max_Bark	slope_Bark	max_Hertz	slope_Hertz	delete
d13	giasa_1	18.05451	7.850265	4597.339	0.012730979	
d13	giasa_2	18.79122	5.889827	5221.802	0.008757984	
d13	giasa_3	18.50264	5.941151	4968.787	0.009281772	
d13	sajna_1	18.76111	5.937889	5194.885	0.010043589	
d13	sajna_2	18.94561	5.18731	5361.768	0.008723354	
d13	sajna_3	19.21581	4.257575	5614.783	0.007069899	
d14	giasa_1	19.46973	10.073459	5862.415	0.012986754	
d14	giasa_2	19.50211	7.972033	5894.714	0.010599403	
d14	giasa_3	18.82717	7.396004	5254.102	0.010761725	
d14	sain_1	20.32436	7.334837	6777.576	0.008948626	
d14	sain_2	19.7912	7.255952	6190.796	0.009198415	
d14	sain_3	19.05042	7.908621	5458.667	0.010933016	
d14	sajna_1	19.76549	6.762679	6163.879	0.008906405	
d14	sajna_2	19.74483	7.448063	6142.346	0.009873983	
d14	sajna_3	18.96905	7.36792	5383.301	0.011147269	
d15	giasa_1	13.21564	2.74824	2034.888	0.010508108	
d15	giasa_2	13.11241	4.240587	2002.588	0.016851257	
d15	giasa_3	13.43258	3.794124	2104.871	0.014483828	
d15	sain_1	13.41621	4.128026	2099.487	0.014995819	
d15	sain_2	13.33357	3.781348	2072.571	0.0141159	
d15	sajna_1	12.73463	1.825627	1889.539	0.007290933	
d15	sajna_2	13.09501	2.498583	1997.205	0.010559481	
d15	sajna_3	13.49755	3.871406	2126.404	0.01453277	
d16	giasa_1	13.98962	1.0266164	2298.669	0.003392294	
d16	giasa_2	11.99931	-0.3456692	1690.356	-0.001171215	
d16	giasa_3	13.98962	0.7393446	2298.669	0.002184784	
d16	saji_1	12.56437	2.5564435	1841.089	0.010693373	
d16	saji_2	12.80865	1.2463835	1911.072	0.004797154	
d16	saji_3	12.60266	2.222581	1851.855	0.008931129	
d16	sajna_1	13.98962	2.0944253	2298.669	0.007311427	
d16	sajna_2	13.98962	3.2244187	2298.669	0.011476333	
d16	sajna_3	13.98962	1.4062866	2298.669	0.004990068	
d16	sajrakta_1	13.11241	1.5493619	2002.588	0.005995013	
d16	sajrakta_2	13.67212	1.2055381	2185.62	0.004352672	
d16	sajrakta_3	12.77176	4.3354074	1900.305	0.016868522	
d17	nəsasaqen_1	12.9894	4.767027	1964.905	0.018975082	
d17	nəsasaqen_2	12.84528	5.731073	1921.838	0.024773006	
d17	nəsasaqen2_1	8.025049	1.477798	925.9277	0.01081301	
d17	nəsasaqen2_2	8.345408	1.747373	974.3774	0.01264705	
d17	sajkok_1	12.9894	2.394127	1997.205	0.008736812	
d17	sajkok_2	12.46748	6.766647	1814.172	0.028763824	
d19	nəsasaqen_1	18.68219	7.647321	5124.902	0.010340886	
d19	nəsasaqen_2	19.399	8.39095	5792.432	0.010730815	
d19	nəsasaqen_3	19.1989	7.729749	5598.633	0.010075316	
d19	nəsasaqen_4	19.06196	6.476916	5469.434	0.008699494	
d19	nəsasaqen_5	19.00986	7.726034	5420.984	0.010207696	
d19	nəsasaqen_6	19.21581	6.655574	5614.783	0.009019797	
d19	nəsasaqen2_1	7.768423	2.588034	888.2446	0.01898735	
d19	nəsasaqen2_2	7.505182	-4.02883	850.5615	0.0153626	
d19	nəsasaqen2_3	19.29973	5.968042	5695.532	0.008232641	
d19	nəsasaqen2_4	19.22706	5.71683	5625.549	0.007854272	
d19	nəsasaqen2_5	18.88073	5.084911	5302.551	0.007700707	
d19	nəsasaqen2_6	18.9632	5.283331	5377.917	0.007740874	
d19	sajkok_1	18.58373	8.716651	5038.77	0.011095543	
d19	sajkok_2	19.00986	7.828311	5420.984	0.010123379	
d19	sajkok_3	19.04464	3.891744	5453.284	0.005784131	
d19	sajkok_4	19.07924	7.483254	5485.583	0.010427942	
d20	nəsasaqen_1	21.4678	4.503656	8284.9	0.004771879	
d20	nəsasaqen_2	21.53783	4.092904	8392.566	0.004213794	
d20	nəsasaqen_3	22.07982	5.063023	9313.11	0.00489238	
d20	nəsasaqen_4	22.1818	5.26517	9506.909	0.004659547	
d20	nəsasaqen2_1	8.025049	3.505343	925.9277	0.02540737	
d20	nəsasaqen2_2	8.025049	2.203026	925.9277	0.01606821	
d20	nəsasaqen2_3	21.99475	4.580413	9156.995	0.004657036	
d20	nəsasaqen2_4	22.19841	4.541266	9539.209	0.004392471	
d20	sajkok_1	21.49248	5.027309	8322.583	0.005157644	
